CustomerID,TotalOrders,TotalQuantity,TotalSpending,AvgOrderValue,AvgItemsInCart,Cluster
C10002,1,3,1470.03,1470.03,4.0,0
C10054,1,2,153.48,153.48,7.0,0
C10126,1,2,1349.8,1349.8,4.0,0
C10154,1,4,1303.04,1303.04,8.0,1
C10211,1,5,635.9000000000001,635.9000000000001,10.0,1
C10222,1,1,204.08,204.08,4.0,0
C10477,1,1,466.42,466.42,5.0,0
C10642,1,2,922.74,922.74,5.0,0
C10787,1,4,1099.28,1099.28,9.0,1
C10791,1,1,355.09,355.09,5.0,0
C10866,1,3,789.5699999999999,789.5699999999999,5.0,0
C10892,1,2,754.94,754.94,7.0,0
C11127,1,5,1306.65,1306.65,5.0,1
C11210,1,5,454.6,454.6,9.0,1
C11415,1,5,2876.2,2876.2,7.0,1
C11473,1,2,146.82,146.82,2.0,0
C11644,1,1,46.66,46.66,6.0,0
C11657,1,4,264.4,264.4,9.0,0
C11665,1,3,337.38,337.38,6.0,0
C11676,1,2,929.0,929.0,2.0,0
C11829,1,2,279.14,279.14,4.0,0
C11849,1,2,476.5,476.5,7.0,0
C11893,1,5,1582.0,1582.0,7.0,1
C11906,1,3,1237.59,1237.59,6.0,0
C11921,1,1,452.7,452.7,5.0,0
C11940,1,3,448.02,448.02,7.0,0
C11985,1,1,30.44,30.44,1.0,0
C11998,1,3,1495.98,1495.98,6.0,1
C12039,1,1,132.68,132.68,1.0,0
C12245,1,2,815.58,815.58,3.0,0
C12301,1,1,531.74,531.74,1.0,0
C12388,1,5,2683.6,2683.6,10.0,1
C12408,1,2,161.54,161.54,4.0,0
C12421,1,1,93.02,93.02,4.0,0
C12444,1,3,230.88,230.88,8.0,0
C12459,1,2,284.16,284.16,4.0,0
C12472,1,3,252.93,252.93,3.0,0
C12479,1,5,124.1,124.1,10.0,0
C12487,1,3,1427.07,1427.07,3.0,0
C12607,1,1,281.52,281.52,6.0,0
C12609,1,4,547.32,547.32,8.0,0
C12667,1,1,223.3,223.3,1.0,0
C12740,1,5,644.75,644.75,10.0,1
C12813,1,5,1462.7,1462.7,8.0,1
C12818,1,3,191.04,191.04,6.0,0
C13100,1,4,1177.64,1177.64,4.0,0
C13108,1,5,3293.85,3293.85,10.0,1
C13169,1,1,536.07,536.07,5.0,0
C13186,1,2,889.68,889.68,7.0,0
C13205,1,5,2107.1,2107.1,7.0,1
C13296,1,2,108.82,108.82,6.0,0
C13324,1,2,1199.48,1199.48,2.0,0
C13366,1,4,2714.2,2714.2,5.0,1
C13501,1,5,427.6,427.6,5.0,0
C13525,1,3,212.79,212.79,5.0,0
C13540,1,4,1239.64,1239.64,5.0,1
C13877,1,5,3384.9,3384.9,5.0,1
C13923,1,1,118.8,118.8,6.0,0
C14005,1,2,80.46,80.46,4.0,0
C14017,1,2,1248.32,1248.32,2.0,0
C14080,1,1,283.69,283.69,6.0,0
C14114,1,3,1704.06,1704.06,3.0,1
C14240,1,1,491.11,491.11,4.0,0
C14427,1,2,533.9,533.9,3.0,0
C14455,1,3,164.85,164.85,8.0,0
C14457,1,5,395.4,395.4,8.0,0
C14552,1,5,1120.0,1120.0,9.0,1
C14553,1,3,440.1899999999999,440.1899999999999,8.0,0
C14568,1,4,885.32,885.32,5.0,0
C14576,1,4,2156.8,2156.8,8.0,1
C14600,1,2,441.8,441.8,4.0,0
C14683,1,2,1069.34,1069.34,7.0,0
C14737,1,4,581.64,581.64,7.0,0
C14837,1,1,183.18,183.18,6.0,0
C14847,2,5,1097.81,548.905,4.0,2
C14891,1,4,1654.96,1654.96,7.0,1
C14983,1,1,17.24,17.24,2.0,0
C15017,1,1,675.57,675.57,1.0,0
C15063,1,5,426.1,426.1,7.0,0
C15146,1,5,190.55,190.55,6.0,0
C15228,1,3,1422.42,1422.42,8.0,1
C15257,1,4,580.2,580.2,6.0,0
C15283,1,1,381.02,381.02,6.0,0
C15624,1,5,3097.6,3097.6,9.0,1
C15629,1,3,912.4499999999999,912.4499999999999,3.0,0
C15681,1,4,2161.64,2161.64,6.0,1
C15849,1,1,525.43,525.43,2.0,0
C15924,1,1,245.89,245.89,3.0,0
C16012,1,1,630.82,630.82,5.0,0
C16253,1,2,399.4,399.4,4.0,0
C16400,1,3,628.4399999999999,628.4399999999999,4.0,0
C16429,1,1,679.65,679.65,6.0,0
C16612,1,1,600.54,600.54,4.0,0
C16675,1,4,857.4,857.4,7.0,0
C16693,1,4,949.72,949.72,8.0,1
C16702,1,3,1390.17,1390.17,3.0,0
C16758,1,3,188.31,188.31,6.0,0
C16775,1,5,3353.75,3353.75,8.0,1
C16776,1,2,320.0,320.0,4.0,0
C16790,1,4,258.96,258.96,8.0,0
C17075,1,4,1259.04,1259.04,8.0,1
C17103,1,3,1278.36,1278.36,5.0,0
C17132,1,1,386.03,386.03,4.0,0
C17136,1,4,641.96,641.96,8.0,0
